r_p	w_rp	error
1.407920891926225382e-01 1.845987765543074488e+02 1.570430705929288173e+01
2.566501680539714503e-01 1.323695226222516226e+02 1.188140337566018623e+01
4.660519441104077343e-01 9.184266061419484117e+01 9.110224078597447317e+00
8.466592514233993727e-01 5.989634999730550646e+01 6.976355215644924002e+00
1.538008479368504489e+00 3.655060288927467127e+01 5.403626648917750686e+00
2.804811398333401762e+00 2.119291134422432776e+01 4.346986499621421807e+00
5.133139657173515502e+00 1.237406610223689363e+01 3.665278984598093981e+00
9.389306534763283807e+00 6.909696010498581842e+00 3.156718613513758598e+00
1.716775650414177790e+01 3.499299048958063985e+00 2.783992110112110563e+00
3.134802529888991529e+01 1.681865259398537482e+00 2.526325929217249300e+00
