r_p	w_rp	error
1.416407991210033857e-01 1.549719712270349135e+02 1.360342933919779718e+01
2.574880578661299380e-01 1.215604531068401570e+02 1.114248437385860058e+01
4.679039084328102671e-01 9.089607589217604300e+01 9.089801587069263888e+00
8.490724011341996835e-01 6.349167430053411465e+01 7.209390801454820696e+00
1.537856770941975038e+00 3.960303987428969208e+01 5.617396700002291077e+00
2.797781399339720032e+00 2.210323143069583551e+01 4.398645863389837096e+00
5.128048126519468397e+00 1.215945617628092101e+01 3.625870007098084269e+00
9.387623724683281878e+00 6.548060636069858553e+00 3.088384910112133230e+00
1.715806059787708548e+01 3.187082651230767283e+00 2.620712398968849222e+00
3.132406980219004211e+01 1.388092531989387313e+00 2.205348365895128726e+00
