r_p	w_rp	error
1.410624741143965966e-01 1.651845936176889609e+02 1.412821956045197602e+01
2.569558646025428272e-01 1.220208081688887773e+02 1.126645467240269660e+01
4.665676764175981095e-01 8.642783160086617045e+01 8.763195226677773064e+00
8.476424710101175819e-01 5.768869251751175398e+01 6.906901791064599117e+00
1.538573548180377948e+00 3.545718843247192353e+01 5.374315440755180973e+00
2.804390581713806174e+00 2.043906148023306457e+01 4.336775175056542864e+00
5.134814327426110658e+00 1.179737494285060073e+01 3.644658959952847166e+00
9.390760913273203059e+00 6.575163769540495196e+00 3.148707428535298281e+00
1.717118417987739676e+01 3.332000862634258098e+00 2.768280648511708186e+00
3.134752957527523165e+01 1.576712420440334883e+00 2.492305582510261797e+00
