r_p	w_rp	error
1.407699292808566593e-01 1.761423396012080218e+02 1.535766687682787968e+01
2.568807987737888321e-01 1.262026432485474743e+02 1.152060759393567402e+01
4.661221486095418198e-01 8.840297984108224227e+01 9.032744334032422273e+00
8.465310463175287348e-01 5.759865324589546276e+01 6.877983362851250781e+00
1.538515611035546904e+00 3.518103520186412680e+01 5.359791117528177828e+00
2.807399719105521552e+00 2.067059445505132942e+01 4.362301256413717354e+00
5.134647424315737396e+00 1.210870599805693715e+01 3.674545543244275070e+00
9.389843888846446163e+00 6.738137959883282235e+00 3.179703073478417075e+00
1.716845314284744717e+01 3.462431238233406372e+00 2.810330227328323272e+00
3.135444614778571548e+01 1.655155278321001511e+00 2.558485846801013430e+00
