r_p	w_rp	error
1.414490072220371542e-01 1.404679672326535922e+02 1.247572748123587338e+01
2.573489847268710662e-01 1.082457614785300990e+02 1.006944117135169847e+01
4.675344795765898898e-01 7.949581581783030515e+01 8.304147798612323328e+00
8.490356611598424141e-01 5.493732881112925526e+01 6.543664262836316858e+00
1.539826119066186827e+00 3.440386470258805218e+01 5.153577640725655051e+00
2.804894249712762022e+00 1.971899944854565234e+01 4.129697858739233673e+00
5.134899012439214872e+00 1.121476485242332899e+01 3.499964364210321310e+00
9.392509180941635449e+00 6.262727586882157027e+00 3.060744529897855060e+00
1.717428680268665531e+01 3.246917448477591783e+00 2.699594125200424966e+00
3.134013739959196343e+01 1.576284454950244829e+00 2.381405332921919360e+00
